# instancia: dsjc250.5
# arestas: 15668
# cores usadas: 175
# tempo total: 0s (971ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 2 1 0
2 3 2 1
3 5 2 2
4 5 4 0
5 6 1 1
6 6 2 3
7 7 1 2
8 7 3 0
9 7 4 1
10 8 1 3
11 8 2 4
12 8 3 2
13 8 6 0
14 8 7 5
15 9 2 5
16 9 3 3
17 9 5 1
18 9 7 4
19 10 2 6
20 10 3 4
21 10 4 2
22 10 6 5
23 10 7 3
24 10 9 0
25 11 1 4
26 11 3 5
27 11 9 2
28 12 2 7
29 12 3 6
30 12 4 3
31 12 5 4
32 12 6 2
33 12 8 1
34 12 10 8
35 12 11 0
36 13 1 5
37 13 2 8
38 13 4 4
39 13 5 3
40 13 7 6
41 13 8 7
42 13 9 9
43 13 10 1
44 13 11 10
45 13 12 11
46 14 1 6
47 14 2 9
48 14 4 5
49 14 5 7
50 14 6 4
51 14 8 8
52 14 10 10
53 15 1 7
54 15 3 8
55 15 8 6
56 15 9 10
57 15 10 9
58 15 11 1
59 15 12 5
60 15 13 0
61 16 3 9
62 16 4 10
63 16 7 11
64 16 8 12
65 16 10 13
66 16 11 3
67 16 12 15
68 16 14 0
69 16 15 2
70 17 4 6
71 17 5 5
72 17 6 7
73 17 7 8
74 17 11 9
75 17 13 2
76 17 15 3
77 17 16 1
78 18 4 7
79 18 7 9
80 18 8 10
81 18 9 6
82 18 14 1
83 18 16 4
84 18 17 0
85 19 2 10
86 19 6 6
87 19 7 7
88 19 12 9
89 19 18 2
90 20 1 8
91 20 2 11
92 20 3 7
93 20 4 9
94 20 10 12
95 20 12 10
96 20 13 13
97 20 14 2
98 21 2 12
99 21 7 10
100 21 10 7
101 21 11 6
102 21 12 13
103 21 13 14
104 21 14 3
105 21 16 16
106 21 17 4
107 21 18 5
108 22 1 9
109 22 2 13
110 22 7 12
111 22 8 11
112 22 11 7
113 22 13 15
114 22 14 14
115 22 16 17
116 22 17 10
117 22 18 3
118 23 1 10
119 23 2 14
120 23 3 11
121 23 4 8
122 23 5 6
123 23 7 13
124 23 8 9
125 23 10 15
126 23 11 12
127 23 12 16
