# instancia: dsjc500.5
# arestas: 62624
# cores usadas: 348
# tempo total: 19s (19572ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 2 1 0
2 3 1 1
3 4 2 1
4 4 3 0
5 5 1 2
6 5 2 3
7 6 2 2
8 6 3 3
9 6 4 4
10 6 5 0
11 7 2 4
12 7 5 1
13 8 4 2
14 8 6 1
15 8 7 0
16 9 1 3
17 9 5 4
18 9 6 5
19 9 7 2
20 9 8 6
21 10 2 5
22 10 5 6
23 10 9 0
24 11 2 6
25 11 10 1
26 12 2 7
27 12 3 2
28 12 4 3
29 12 8 4
30 12 10 8
31 13 3 4
32 13 4 5
33 13 7 3
34 13 9 1
35 13 10 2
36 13 12 0
37 14 2 8
38 14 3 7
39 14 8 3
40 14 9 11
41 14 12 1
42 15 1 4
43 15 2 9
44 15 5 5
45 15 6 6
46 15 7 7
47 15 11 0
48 15 14 2
49 16 1 5
50 16 5 7
51 16 6 8
52 16 7 6
53 16 8 9
54 16 12 10
55 17 3 5
56 17 4 6
57 17 5 8
58 17 6 7
59 17 9 9
60 17 10 3
61 17 13 10
62 17 16 0
63 18 2 10
64 18 3 6
65 18 6 9
66 18 7 5
67 18 8 7
68 18 9 8
69 18 10 4
70 18 11 2
71 18 12 11
72 18 13 12
73 19 7 8
74 19 8 5
75 19 10 7
76 19 12 6
77 19 16 1
78 20 2 11
79 20 6 10
80 20 7 9
81 20 11 3
82 20 13 6
83 20 14 4
84 20 15 1
85 20 16 2
86 20 17 12
87 20 19 0
88 21 6 11
89 21 7 10
90 21 8 8
91 21 9 7
92 21 14 13
93 21 15 3
94 21 17 1
95 21 19 2
96 21 20 5
97 22 2 12
98 22 4 8
99 22 5 9
100 22 7 11
101 22 8 10
102 22 11 4
103 22 15 13
104 22 16 3
105 22 17 2
106 22 19 14
107 22 20 7
108 22 21 0
109 23 1 6
110 23 2 13
111 23 4 9
112 23 5 10
113 23 6 12
114 23 9 14
115 23 11 5
116 23 13 7
117 23 14 15
118 23 16 4
119 23 19 3
120 23 21 16
121 24 1 7
122 24 2 14
123 24 6 13
124 24 7 12
125 24 9 10
126 24 11 8
127 24 14 16
128 24 15 11
129 24 16 15
130 24 17 4
131 24 18 0
132 24 19 9
133 24 20 17
134 24 21 6
135 24 23 1
136 25 3 8
137 25 4 10
138 25 5 11
139 25 6 14
140 25 8 12
141 25 9 13
142 25 10 9
143 25 11 7
144 25 12 5
145 25 14 17
146 25 15 15
147 25 18 1
148 25 19 4
149 25 20 16
150 25 21 18
151 26 9 12
152 26 10 10
153 26 11 9
154 26 13 8
155 26 14 14
156 26 16 11
157 26 19 13
158 26 21 4
159 26 23 0
160 26 25 2
161 27 7 13
162 27 8 11
163 27 9 15
164 27 13 9
165 27 14 18
166 27 16 12
167 27 17 14
168 27 18 3
169 27 22 1
170 27 23 2
171 27 24 5
172 28 1 8
173 28 3 9
174 28 8 13
175 28 9 16
176 28 10 11
177 28 11 10
178 28 12 12
179 28 13 14
180 28 18 15
181 28 19 17
182 28 20 18
183 28 21 19
184 28 27 0
185 29 2 15
186 29 5 12
187 29 6 16
188 29 7 14
189 29 9 17
190 29 10 13
