# instancia: dsjc500.9
# arestas: 112437
# cores usadas: 608
# tempo total: 112s (112471ms)
# formato: id_aresta  vertice_u  vertice_v  cor
1 2 1 0
2 3 1 1
3 3 2 2
4 4 1 2
5 4 2 1
6 4 3 0
7 5 1 3
8 5 2 4
9 5 3 5
10 6 1 4
11 6 2 3
12 6 3 6
13 6 4 5
14 7 1 5
15 7 3 3
16 7 4 4
17 7 5 0
18 7 6 1
19 8 1 6
20 8 3 4
21 8 4 3
22 8 5 1
23 8 6 0
24 8 7 2
25 9 1 7
26 9 2 5
27 9 3 8
28 9 4 6
29 9 5 2
30 9 6 9
31 9 8 10
32 10 1 8
33 10 2 6
34 10 4 7
35 10 5 9
36 10 6 2
37 10 7 10
38 10 8 5
39 10 9 0
40 11 1 9
41 11 2 7
42 11 3 10
43 11 4 8
44 11 5 6
45 11 6 11
46 11 7 12
47 11 8 13
48 11 9 1
49 11 10 3
50 12 1 10
51 12 2 8
52 12 3 7
53 12 4 9
54 12 5 11
55 12 6 12
56 12 7 6
57 12 8 14
58 12 9 3
59 12 10 1
60 13 1 11
61 13 2 9
62 13 3 12
63 13 4 10
64 13 5 7
65 13 7 8
66 13 8 15
67 13 9 4
68 13 10 13
69 13 11 0
70 13 12 2
71 14 1 12
72 14 2 10
73 14 3 9
74 14 4 11
75 14 5 8
76 14 7 7
77 14 8 16
78 14 9 13
79 14 10 4
80 14 11 2
81 14 12 0
82 14 13 1
83 15 1 13
84 15 2 11
85 15 3 14
86 15 5 10
87 15 6 7
88 15 7 9
89 15 9 12
90 15 10 15
91 15 11 4
92 15 12 5
93 15 13 3
94 15 14 6
95 16 1 14
96 16 2 12
97 16 3 11
98 16 4 13
99 16 5 15
100 16 7 16
101 16 8 7
102 16 9 17
103 16 10 18
104 16 11 5
105 16 12 4
106 16 13 6
107 16 14 3
108 16 15 0
109 17 1 15
110 17 2 13
111 17 3 16
112 17 4 12
113 17 5 14
114 17 6 8
115 17 7 11
116 17 8 9
117 17 9 18
118 17 10 17
119 17 11 19
120 17 12 20
121 17 13 5
122 17 14 21
123 17 15 1
124 17 16 2
125 18 1 16
126 18 2 14
127 18 3 13
128 18 4 15
129 18 5 12
130 18 6 10
131 18 7 17
132 18 8 8
133 18 9 11
134 18 10 19
135 18 11 18
136 18 12 21
137 18 13 20
138 18 14 5
139 18 15 2
140 18 16 1
141 19 1 17
142 19 2 15
143 19 3 18
144 19 4 14
145 19 5 13
146 19 6 16
147 19 7 19
148 19 8 11
149 19 9 20
150 19 10 12
151 19 11 21
152 19 12 22
153 19 13 23
154 19 14 24
155 19 15 8
156 19 16 9
157 19 17 0
158 19 18 3
159 20 1 18
160 20 2 16
161 20 3 15
162 20 4 17
163 20 5 19
164 20 6 13
165 20 8 12
166 20 9 14
167 20 10 11
168 20 11 20
169 20 12 23
170 20 13 21
171 20 14 22
172 20 15 24
173 20 16 8
174 20 18 0
175 20 19 1
176 21 1 19
177 21 2 17
178 21 3 20
179 21 4 16
180 21 5 18
181 21 6 14
182 21 7 13
183 21 8 21
184 21 9 15
185 21 10 22
186 21 11 23
187 21 12 24
188 21 13 25
189 21 15 26
190 21 16 10
